2026-01-14 19:09:33,422 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:12:37,496 | INFO | services.invoice_ingest.usfoods_importer | Starting invoice import
2026-01-14 19:12:37,513 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,514 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,514 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,514 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,515 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,515 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,515 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:12:37,539 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,543 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,565 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:12:37,593 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,624 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,635 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,637 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,661 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,693 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,697 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:12:37,720 | INFO | services.invoice_persistence | Persisting invoice
2026-01-14 19:12:37,782 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,783 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
